Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0000134,2022-12-15,2022-12-15,,Robert De Niro,Raging Bull,1943-08-17
2,nm0000168,2022-12-16,2022-12-16,,Samuel L. Jackson,Pulp Fiction,1948-12-21
3,nm0000353,2022-12-16,2022-12-16,,Willem Dafoe,Spider-Man,1955-07-22
4,nm0000686,2022-12-16,2022-12-16,,Christopher Walken,The Deer Hunter,1943-03-31
5,nm0000661,2022-12-16,2022-12-16,,Donald Sutherland,The Hunger Games: Catching Fire,1935-07-17
6,nm0000246,2022-12-16,2022-12-16,,Bruce Willis,Die Hard,1955-03-19
7,nm0000323,2022-12-20,2022-12-20,,Michael Caine,The Dark Knight,1933-03-14
8,nm0000329,2022-12-20,2022-12-20,,Jackie Chan,Ngo si seoi,1954-04-07
9,nm0000063,2022-12-20,2022-12-20,,Anthony Quinn,Alexis Zorbas,1915-04-21
10,nm0000418,2022-12-20,2022-12-20,,Danny Glover,Lethal Weapon,1946-07-22
11,nm0001626,2022-12-20,2022-12-20,,Christopher Plummer,Beginners,1929-12-13
12,nm0000215,2022-12-20,2022-12-20,,Susan Sarandon,Thelma & Louise,1946-10-04
13,nm0000608,2022-12-23,2022-12-23,,Burt Reynolds,Boogie Nights,1936-02-11
14,nm0350079,2022-12-23,2022-12-23,,Luis Guzmán,Traffic,1956-08-28
15,nm0000115,2022-12-23,2022-12-23,,Nicolas Cage,Face/Off,1964-01-07
16,nm0001025,2022-12-25,2022-12-25,,Seymour Cassel,Rushmore,1935-01-22
17,nm0004051,2022-12-25,2022-12-25,,Brian Cox,Succession,1946-06-01
18,nm0000172,2022-12-26,2022-12-26,,Harvey Keitel,Reservoir Dogs,1939-05-13
19,nm0001804,2022-12-26,2022-12-26,,Stanley Tucci,Big Night,1960-11-11
20,nm0726223,2022-12-20,2022-12-20,,Richard Riehle,The Man from Earth,1948-05-12
21,nm0000457,2022-12-26,2022-12-26,,John Hurt,Nineteen Eighty-Four,1940-01-22
22,nm0001745,2022-12-26,2022-12-26,,Stellan Skarsgård,Good Will Hunting,1951-06-13
23,nm0001017,2022-12-28,2022-12-28,,John Carradine,The Grapes of Wrath,1906-02-05
24,nm0000489,2022-12-28,2022-12-28,,Christopher Lee,Star Wars: Episode II - Attack of the Clones,1922-05-27
25,nm0784884,2022-12-30,2022-12-30,,Rade Serbedzija,The Saint,1946-07-27
26,nm0001637,2023-01-02,2023-01-02,,Vincent Price,The Abominable Dr. Phibes,1911-05-27
27,nm0000978,2023-01-02,2023-01-02,,Lloyd Bridges,Hot Shots! Part Deux,1913-01-15
28,nm0000502,2023-01-03,2023-01-03,,Christopher Lloyd,Back to the Future,1938-10-22
29,nm0000104,2023-01-03,2023-01-03,,Antonio Banderas,The Mask of Zorro,1960-08-10
30,nm0000708,2023-01-03,2023-01-03,,Billy Zane,Titanic,1966-02-24
31,nm0949350,2023-01-06,2023-01-06,,Burt Young,Rocky,1940-04-30
32,nm0000518,2023-01-06,2023-01-06,,John Malkovich,Being John Malkovich,1953-12-09
33,nm0000114,2023-01-10,2023-01-10,,Steve Buscemi,Fargo,1957-12-13
34,nm0000579,2023-01-11,2023-01-11,,Ron Perlman,Hand of God,1950-04-13
35,nm0000514,2023-01-13,2023-01-13,,Michael Madsen,The Hateful Eight,1957-09-25
36,nm0000802,2023-01-17,2023-01-17,,Mary Astor,The Maltese Falcon,1906-05-03
37,nm0001537,2023-01-17,2023-01-17,,Ray Milland,The Lost Weekend,1907-01-03
38,nm0799777,2023-01-27,2023-01-27,,J.K. Simmons,Whiplash,1955-01-09
39,nm0000491,2023-01-29,2023-01-29,,John Leguizamo,Moulin Rouge!,1960-07-22
40,nm0001765,2023-02-05,2023-02-05,,Harry Dean Stanton,Alien,1926-07-14
