Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0000230,2021-10-03,2021-10-03,The legend and in my opinion the most inspirational man in Hollywood.,Sylvester Stallone,Rocky,1946-07-06
2,nm0000168,2021-10-03,2021-10-03,The man with a HUGE personality and probably the most best roles!,Samuel L. Jackson,Pulp Fiction,1948-12-21
3,nm0000553,2021-10-03,2021-10-03,The man who's expert on dealing with extremely complicated situations!,Liam Neeson,Kinsey,1952-06-07
4,nm0000608,2021-10-03,2021-10-03,Legendary and unique. R.I.P.,Burt Reynolds,Boogie Nights,1936-02-11
5,nm0000197,2021-10-03,2021-10-03,I have no words for him... His sarcastic smile on his movie roles say everything! Another legend!,Jack Nicholson,Chinatown,1937-04-22
6,nm0000243,2021-10-03,2021-10-03,"The man who's never acted badly, not even in a single movie!",Denzel Washington,Fences,1954-12-28
7,nm0000199,2021-10-03,2021-10-03,Another legend who I don't have much to say about. On my top 5 for sure!,Al Pacino,Serpico,1940-04-25
8,nm0001640,2021-10-03,2021-10-03,"Funny, legendary and unique! R.I.P.",Richard Pryor,Superman III,1940-12-01
9,nm0000164,2021-10-03,2021-10-03,My favourite English actor without a doubt! Legend!,Anthony Hopkins,The Silence of the Lambs,1937-12-31
10,nm0000216,2021-10-03,2021-10-03,This man has done so many things in his career and has been awesomely great in all of them! Arnold can as inspirational as Sylvester for me!,Arnold Schwarzenegger,Terminator 2: Judgment Day,1947-07-30
11,nm0000140,2021-10-03,2021-10-03,,Michael Douglas,Behind the Candelabra,1944-09-25
12,nm0000134,2021-10-03,2021-10-03,He is soooooo good on acting... His characters in movies look so realistic and natural. He probably has the most famous smile in Hollywood!,Robert De Niro,Raging Bull,1943-08-17
13,nm0000698,2021-10-03,2021-10-03,"Funny, legendary and unique! R.I.P.",Gene Wilder,Willy Wonka & the Chocolate Factory,1933-06-11
14,nm0000552,2021-10-03,2021-10-03,,Eddie Murphy,The Nutty Professor,1961-04-03
15,nm0000188,2021-10-03,2021-10-03,,Steve Martin,Roxanne,1945-08-14
16,nm0000158,2021-10-03,2021-10-03,,Tom Hanks,Cast Away,1956-07-09
17,nm0001001,2021-10-03,2021-10-03,Probably the most underrated actor in Hollywood.,James Caan,The Godfather,1940-03-26
18,nm0000125,2021-10-03,2021-10-03,The eternal James Bond! R.I.P.,Sean Connery,The Rock,1930-08-25
19,nm0000432,2021-10-03,2021-10-03,Gene always has a great story to show in his movies!,Gene Hackman,The French Connection,1930-01-30
20,nm0002071,2021-10-03,2021-10-03,My favourite comedian from the newer generation (born after 1965).,Will Ferrell,Talladega Nights: The Ballad of Ricky Bobby,1967-07-16
21,nm0000362,2021-10-03,2021-10-03,Another unique actor. I love his comedies!,Danny DeVito,Matilda,1944-11-17
22,nm0000474,2021-10-03,2021-10-03,"The best Batman ever, in my opinion!",Michael Keaton,Birdman or (The Unexpected Virtue of Ignorance),1951-09-05
23,nm0000427,2021-10-03,2021-10-03,,Pam Grier,Jackie Brown,1949-05-26
24,nm0000169,2021-10-03,2021-10-03,,Tommy Lee Jones,The Fugitive,1946-09-15
25,nm0000148,2021-10-03,2021-10-03,,Harrison Ford,Raiders of the Lost Ark,1942-07-13
26,nm0000107,2021-10-03,2021-10-03,,Kim Basinger,L.A. Confidential,1953-12-08
27,nm0000102,2021-10-03,2021-10-03,Why does he always (or almost always) have to be the bad guy in movies?,Kevin Bacon,Footloose,1958-07-08
28,nm0000104,2021-10-03,2021-10-03,,Antonio Banderas,The Mask of Zorro,1960-08-10
29,nm0000120,2021-10-03,2021-10-03,,Jim Carrey,Eternal Sunshine of the Spotless Mind,1962-01-17
30,nm0000541,2021-10-03,2021-10-03,,Bette Midler,Beaches,1945-12-01
31,nm0000215,2021-10-03,2021-10-03,,Susan Sarandon,Thelma & Louise,1946-10-04
32,nm0000658,2021-10-03,2021-10-03,,Meryl Streep,Out of Africa,1949-06-22
33,nm0001699,2021-10-03,2021-10-03,,Telly Savalas,Kojak,1922-01-21
34,nm0859365,2021-10-03,2021-10-03,,Philip Michael Thomas,Miami Vice,1949-05-26
35,nm0000467,2021-10-03,2021-10-03,,Don Johnson,Miami Vice,1949-12-15
36,nm0000602,2021-10-03,2021-10-03,,Robert Redford,The Natural,1936-08-18
37,nm0000154,2021-10-03,2021-10-03,,Mel Gibson,Braveheart,1956-01-03
38,nm0000237,2021-10-03,2021-10-03,,John Travolta,Pulp Fiction,1954-02-18
39,nm0000155,2021-10-03,2021-10-03,,Whoopi Goldberg,Ghost,1955-11-13
40,nm0000100,2021-10-06,2021-10-06,,Rowan Atkinson,Johnny English,1955-01-06
41,nm0000151,2021-10-08,2021-10-08,,Morgan Freeman,Invictus,1937-06-01
42,nm0001454,2021-10-08,2021-10-08,,Martin Lawrence,Martin,1965-04-16
43,nm0000142,2021-10-09,2021-10-09,,Clint Eastwood,Million Dollar Baby,1930-05-31
44,nm0000537,2021-10-09,2021-10-09,,Steve McQueen,The Great Escape,1930-03-24
45,nm0000554,2021-10-09,2021-10-09,,Sam Neill,Jurassic Park,1947-09-14
46,nm0000331,2021-10-09,2021-10-09,,Chevy Chase,Caddyshack,1943-10-08
47,nm0000156,2021-10-09,2021-10-09,,Jeff Goldblum,Jurassic Park,1952-10-22
48,nm0000368,2021-10-09,2021-10-09,,Laura Dern,Jurassic Park,1967-02-10
49,nm0000136,2021-10-09,2021-10-09,,Johnny Depp,Sweeney Todd: The Demon Barber of Fleet Street,1963-06-09
50,nm0642368,2021-10-09,2021-10-09,My favourite Lost character!,Terry O'Quinn,Lost,1952-07-15
51,nm0004710,2021-10-09,2021-10-09,My second favourite Lost character!,Naveen Andrews,Planet Terror,1969-01-17
52,nm0000245,2021-10-09,2021-10-09,,Robin Williams,Mrs. Doubtfire,1951-07-21
53,nm0267812,2021-10-09,2021-10-09,,Vera Farmiga,Up in the Air,1973-08-06
54,nm0000136,2021-10-14,2021-10-14,,Johnny Depp,Sweeney Todd: The Demon Barber of Fleet Street,1963-06-09
55,nm0000246,2021-10-16,2021-10-16,,Bruce Willis,Die Hard,1955-03-19
56,nm0001167,2021-10-25,2021-10-25,,Shelley Duvall,The Shining,1949-07-07
57,nm0001098,2021-10-27,2021-10-27,,Rodney Dangerfield,Back to School,1921-11-22
58,nm0000323,2021-10-27,2021-10-27,,Michael Caine,The Dark Knight,1933-03-14
59,nm0001579,2021-10-29,2021-10-29,,Edward James Olmos,Battlestar Galactica,1947-02-24
